,,,,,,,
,Mystery Egg,Pokémon Eggs,,,Event,Pokémon Encounters,Infos
,Onyx Ward Rescue Egg,Clamperl,Remoraid,,Bullies Event (Opal Ward),"Zigzagoon, Pachirisu, Cufant",
,,Frillish,Seel,,Rented House in Peridot Ward,"Whismur, Impidimp, Machop, Roggenrola*",Roggenrola needs the Monotype Password
,,Clamperl,Clauncher,,Victim Pokémon in Peridot Ward,"Espurr, Cinccino, Swinup, Aron, Toxel",
,,Spheal,,,Trash Event in Peridot Ward,"Gulpin, Galar-Zigzagoon*, Gimmighoul*",Need respective Monotype Passwords
,,New Egg chances,,,Obsidia Slums Lost Egg,"Ducklett, Drowzee, Bronzor, Cacnea, Morpeko",
,,Chewtle,Veluza,,Malchous Forest Lost Egg,"Nincada, Deerling, Skiddo, Girafarig, Hatenna",
,,Hisui Basculin,Cramorant,,,,
,,Tatsugiri,Finizen,,,,
,Jasper Police Officer Egg,Azurill,Pawniard,,,,
,,Mareanie,Litwick,,,,
,,Staryu,Trapinch,,,,
,,Togepi,Cottonee,,,,
,,Sneasel,Vulpix,,,,
,,Shroomish,Elekid,,,,
,,Gastly,Starly,,,,
,,Axew,Rockruff,,,,
,,Alolan Vulpix,Larvesta,,,,
,,New Egg chances,,,,,
,,Cyclizar,Orthworm,,,,
,,Galar Meowth,Indeedee,,,,
,,Pincurchin,Nacli,,,,
,,Galar Corsola,Falinks,,,,
,,Hisui Qwilfish,Toedscool,,,,
,,Galar Darumaka,Nymble,,,,
,,Charcadet,,,,,